Produktgruppe;Produktgruppe Bezeichnung;E_A;Haushaltsposition;Jahr;Euro
1.16.10;traffiQ (Treuhandbereich);A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2009;20.049.000,00
1.16.10;traffiQ (Treuhandbereich);A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2010;18.683.000,00
1.16.10;traffiQ (Treuhandbereich);A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2011;18.838.000,00
1.16.10;traffiQ (Treuhandbereich);A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2012;20.105.000,00
1.16.10;traffiQ (Treuhandbereich);A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2013;20.781.000,00
1.16.11;Förderung Öffentl. Personennahverkehr;A;Abschreibungen;2008;28.829.796,48
1.16.11;Förderung Öffentl. Personennahverkehr;A;Abschreibungen;2009;28.098.000,00
1.16.11;Förderung Öffentl. Personennahverkehr;A;Abschreibungen;2010;32.310.515,35
1.16.11;Förderung Öffentl. Personennahverkehr;A;Abschreibungen;2011;32.925.112,00
1.16.11;Förderung Öffentl. Personennahverkehr;A;Abschreibungen;2012;33.721.000,00
1.16.11;Förderung Öffentl. Personennahverkehr;A;Abschreibungen;2013;33.925.000,00
1.16.11;Förderung Öffentl. Personennahverkehr;A;Aufwendungen für Sach- und Dienstleistungen;2008;2.854.256,12
1.16.11;Förderung Öffentl. Personennahverkehr;E;Erträge aus der Auflösung von Sonderposten aus Investitionszuweisungen, -zuschüssen und Investitionsbeiträge;2008;21.561.179,12
1.16.11;Förderung Öffentl. Personennahverkehr;E;Erträge aus der Auflösung von Sonderposten aus Investitionszuweisungen, -zuschüssen und Investitionsbeiträge;2009;21.535.000,00
1.16.11;Förderung Öffentl. Personennahverkehr;E;Erträge aus der Auflösung von Sonderposten aus Investitionszuweisungen, -zuschüssen und Investitionsbeiträge;2010;21.453.964,00
1.16.11;Förderung Öffentl. Personennahverkehr;E;Erträge aus der Auflösung von Sonderposten aus Investitionszuweisungen, -zuschüssen und Investitionsbeiträge;2011;22.324.496,00
1.16.11;Förderung Öffentl. Personennahverkehr;E;Erträge aus der Auflösung von Sonderposten aus Investitionszuweisungen, -zuschüssen und Investitionsbeiträge;2012;22.957.000,00
1.16.11;Förderung Öffentl. Personennahverkehr;E;Erträge aus der Auflösung von Sonderposten aus Investitionszuweisungen, -zuschüssen und Investitionsbeiträge;2013;23.094.000,00
1.16.12;Verkehrsplanung;A;Abschreibungen;2008;43.901,48
1.16.12;Verkehrsplanung;A;Abschreibungen;2009;26.000,00
1.16.12;Verkehrsplanung;A;Abschreibungen;2010;26.276,00
1.16.12;Verkehrsplanung;A;Abschreibungen;2011;64.140,50
1.16.12;Verkehrsplanung;A;Abschreibungen;2012;61.000,00
1.16.12;Verkehrsplanung;A;Abschreibungen;2013;51.000,00
1.16.12;Verkehrsplanung;A;Aufwendungen für Sach- und Dienstleistungen;2008;350.838,15
1.16.12;Verkehrsplanung;A;Aufwendungen für Sach- und Dienstleistungen;2009;477.000,00
1.16.12;Verkehrsplanung;A;Aufwendungen für Sach- und Dienstleistungen;2010;477.000,00
1.16.12;Verkehrsplanung;A;Aufwendungen für Sach- und Dienstleistungen;2011;477.000,00
1.16.12;Verkehrsplanung;A;Aufwendungen für Sach- und Dienstleistungen;2012;477.000,00
1.16.12;Verkehrsplanung;A;Aufwendungen für Sach- und Dienstleistungen;2013;477.000,00
1.16.12;Verkehrsplanung;A;Personalaufwendungen;2008;872.707,48
1.16.12;Verkehrsplanung;A;Personalaufwendungen;2009;884.000,00
1.16.12;Verkehrsplanung;A;Personalaufwendungen;2010;792.000,00
1.16.12;Verkehrsplanung;A;Personalaufwendungen;2011;792.000,00
1.16.12;Verkehrsplanung;A;Personalaufwendungen;2012;792.000,00
1.16.12;Verkehrsplanung;A;Personalaufwendungen;2013;792.000,00
1.16.12;Verkehrsplanung;A;Versorgungsaufwendungen;2008;96.613,09
1.16.12;Verkehrsplanung;A;Versorgungsaufwendungen;2009;65.000,00
1.16.12;Verkehrsplanung;A;Versorgungsaufwendungen;2010;121.000,00
1.16.12;Verkehrsplanung;A;Versorgungsaufwendungen;2011;127.000,00
1.16.12;Verkehrsplanung;A;Versorgungsaufwendungen;2012;127.000,00
1.16.12;Verkehrsplanung;A;Versorgungsaufwendungen;2013;127.000,00
1.16.12;Verkehrsplanung;E;Erträge aus der Auflösung von Sonderposten aus Investitionszuweisungen, -zuschüssen und Investitionsbeiträge;2010;0,00
1.16.12;Verkehrsplanung;E;Erträge aus der Auflösung von Sonderposten aus Investitionszuweisungen, -zuschüssen und Investitionsbeiträge;2011;12.150,00
1.16.12;Verkehrsplanung;E;Erträge aus der Auflösung von Sonderposten aus Investitionszuweisungen, -zuschüssen und Investitionsbeiträge;2012;12.000,00
1.16.12;Verkehrsplanung;E;Erträge aus der Auflösung von Sonderposten aus Investitionszuweisungen, -zuschüssen und Investitionsbeiträge;2013;12.000,00
1.17.01;Wohnen;A;Abschreibungen;2008;218.775,58
1.17.01;Wohnen;A;Abschreibungen;2009;127.000,00
1.17.01;Wohnen;A;Abschreibungen;2010;341.441,51
1.17.01;Wohnen;A;Abschreibungen;2011;334.911,50
1.17.01;Wohnen;A;Abschreibungen;2012;290.000,00
1.17.01;Wohnen;A;Abschreibungen;2013;263.000,00
1.17.01;Wohnen;A;Aufwendungen für Sach- und Dienstleistungen;2008;3.105.172,87
1.17.01;Wohnen;A;Aufwendungen für Sach- und Dienstleistungen;2009;5.257.000,00
1.17.01;Wohnen;A;Aufwendungen für Sach- und Dienstleistungen;2010;9.392.000,00
1.17.01;Wohnen;A;Aufwendungen für Sach- und Dienstleistungen;2011;9.262.000,00
1.17.01;Wohnen;A;Aufwendungen für Sach- und Dienstleistungen;2012;9.392.000,00
1.17.01;Wohnen;A;Aufwendungen für Sach- und Dienstleistungen;2013;9.612.000,00
1.17.01;Wohnen;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2008;137.429,32
1.17.01;Wohnen;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2009;178.000,00
1.17.01;Wohnen;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2010;278.000,00
1.17.01;Wohnen;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2011;278.000,00
1.17.01;Wohnen;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2012;278.000,00
1.17.01;Wohnen;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2013;278.000,00
1.17.01;Wohnen;A;Personalaufwendungen;2008;5.867.376,75
1.17.01;Wohnen;A;Personalaufwendungen;2009;6.244.000,00
1.17.01;Wohnen;A;Personalaufwendungen;2010;7.075.000,00
1.17.01;Wohnen;A;Personalaufwendungen;2011;6.940.000,00
1.17.01;Wohnen;A;Personalaufwendungen;2012;6.940.000,00
1.17.01;Wohnen;A;Personalaufwendungen;2013;6.940.000,00
1.17.01;Wohnen;A;Sonstige ordentliche Aufwendungen;2008;120.146,19
1.17.01;Wohnen;A;Sonstige ordentliche Aufwendungen;2009;2.000,00
1.17.01;Wohnen;A;Sonstige ordentliche Aufwendungen;2010;248.000,00
1.17.01;Wohnen;A;Sonstige ordentliche Aufwendungen;2011;327.000,00
1.17.01;Wohnen;A;Sonstige ordentliche Aufwendungen;2012;327.000,00
1.17.01;Wohnen;A;Sonstige ordentliche Aufwendungen;2013;327.000,00
1.17.01;Wohnen;A;Versorgungsaufwendungen;2008;1.879.377,71
1.17.01;Wohnen;A;Versorgungsaufwendungen;2009;2.018.000,00
1.17.01;Wohnen;A;Versorgungsaufwendungen;2010;2.012.000,00
1.17.01;Wohnen;A;Versorgungsaufwendungen;2011;2.064.000,00
1.17.01;Wohnen;A;Versorgungsaufwendungen;2012;2.064.000,00
1.17.01;Wohnen;A;Versorgungsaufwendungen;2013;2.064.000,00
1.17.01;Wohnen;E;Finanzerträge;2008;1.139.638,72
1.17.01;Wohnen;E;Finanzerträge;2009;15.000,00
1.17.01;Wohnen;E;Finanzerträge;2010;1.576.000,00
1.17.01;Wohnen;E;Finanzerträge;2011;2.076.000,00
1.17.01;Wohnen;E;Finanzerträge;2012;2.076.000,00
1.17.01;Wohnen;E;Finanzerträge;2013;2.076.000,00
1.17.01;Wohnen;E;Kostenersatzleistungen und -erstattungen;2008;641.030,74
1.17.01;Wohnen;E;Kostenersatzleistungen und -erstattungen;2009;580.000,00
1.17.01;Wohnen;E;Kostenersatzleistungen und -erstattungen;2010;380.000,00
1.17.01;Wohnen;E;Kostenersatzleistungen und -erstattungen;2011;365.000,00
1.17.01;Wohnen;E;Kostenersatzleistungen und -erstattungen;2012;500.000,00
1.17.01;Wohnen;E;Kostenersatzleistungen und -erstattungen;2013;370.000,00
1.17.01;Wohnen;E;Öffentlich-rechtliche Leistungsentgelte;2008;3.118,68
1.17.01;Wohnen;E;Öffentlich-rechtliche Leistungsentgelte;2009;11.000,00
1.17.01;Wohnen;E;Öffentlich-rechtliche Leistungsentgelte;2010;11.000,00
1.17.01;Wohnen;E;Öffentlich-rechtliche Leistungsentgelte;2011;11.000,00
1.17.01;Wohnen;E;Öffentlich-rechtliche Leistungsentgelte;2012;11.000,00
1.17.01;Wohnen;E;Öffentlich-rechtliche Leistungsentgelte;2013;11.000,00
1.17.01;Wohnen;E;Privatrechtliche Leistungsentgelte;2008;47.101,48
1.17.01;Wohnen;E;Privatrechtliche Leistungsentgelte;2009;75.000,00
1.17.01;Wohnen;E;Privatrechtliche Leistungsentgelte;2010;75.000,00
1.17.01;Wohnen;E;Privatrechtliche Leistungsentgelte;2011;75.000,00
1.17.01;Wohnen;E;Privatrechtliche Leistungsentgelte;2012;75.000,00
1.17.01;Wohnen;E;Privatrechtliche Leistungsentgelte;2013;75.000,00
1.17.01;Wohnen;E;Sonstige ordentliche Erträge;2008;364.902,66
1.17.01;Wohnen;E;Sonstige ordentliche Erträge;2009;30.000,00
1.17.01;Wohnen;E;Sonstige ordentliche Erträge;2010;30.000,00
1.17.01;Wohnen;E;Sonstige ordentliche Erträge;2011;30.000,00
1.17.01;Wohnen;E;Sonstige ordentliche Erträge;2012;30.000,00
1.17.01;Wohnen;E;Sonstige ordentliche Erträge;2013;30.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Abschreibungen;2008;2.468.398,17
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Abschreibungen;2009;884.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Abschreibungen;2010;1.748.014,15
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Abschreibungen;2011;2.268.207,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Abschreibungen;2012;2.106.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Abschreibungen;2013;2.077.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Aufwendungen für Sach- und Dienstleistungen;2008;19.007.784,63
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Aufwendungen für Sach- und Dienstleistungen;2009;20.034.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Aufwendungen für Sach- und Dienstleistungen;2010;19.821.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Aufwendungen für Sach- und Dienstleistungen;2011;19.821.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Aufwendungen für Sach- und Dienstleistungen;2012;19.821.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Aufwendungen für Sach- und Dienstleistungen;2013;19.821.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2008;65.785.336,07
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2009;69.157.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2010;69.494.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2011;69.494.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2012;69.419.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2013;69.419.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Personalaufwendungen;2008;61.725.937,72
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Personalaufwendungen;2009;71.985.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Personalaufwendungen;2010;75.318.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Personalaufwendungen;2011;75.318.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Personalaufwendungen;2012;75.318.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Personalaufwendungen;2013;75.318.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Sonstige ordentliche Aufwendungen;2008;3.440,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Transferaufwendungen;2008;564.166.540,28
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Transferaufwendungen;2009;584.403.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Transferaufwendungen;2010;591.602.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Transferaufwendungen;2011;600.252.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Transferaufwendungen;2012;606.902.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Transferaufwendungen;2013;614.902.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Versorgungsaufwendungen;2008;16.871.548,03
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Versorgungsaufwendungen;2009;17.980.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Versorgungsaufwendungen;2010;17.615.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Versorgungsaufwendungen;2011;18.162.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Versorgungsaufwendungen;2012;18.162.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Versorgungsaufwendungen;2013;18.162.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;A;Zinsen und sonstige Finanzaufwendungen;2008;11.957,93
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Außerordentliche Erträge;2008;119,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Erträge aus der Auflösung von Sonderposten aus Investitionszuweisungen, -zuschüssen und Investitionsbeiträge;2008;11.070,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Erträge aus der Auflösung von Sonderposten aus Investitionszuweisungen, -zuschüssen und Investitionsbeiträge;2009;9.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Erträge aus der Auflösung von Sonderposten aus Investitionszuweisungen, -zuschüssen und Investitionsbeiträge;2010;4.244,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Erträge aus der Auflösung von Sonderposten aus Investitionszuweisungen, -zuschüssen und Investitionsbeiträge;2011;672,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Erträge aus der Auflösung von Sonderposten aus Investitionszuweisungen, -zuschüssen und Investitionsbeiträge;2012;2.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Erträge aus der Auflösung von Sonderposten aus Investitionszuweisungen, -zuschüssen und Investitionsbeiträge;2013;3.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Erträge aus Transferleistungen;2008;122.134.707,64
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Erträge aus Transferleistungen;2009;112.255.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Erträge aus Transferleistungen;2010;111.175.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Erträge aus Transferleistungen;2011;111.325.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Erträge aus Transferleistungen;2012;111.175.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Erträge aus Transferleistungen;2013;111.175.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Erträge aus Zuweisungen und Zuschüssen für laufende Zwecke und allgemeine Umlagen;2008;31.173.136,53
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Erträge aus Zuweisungen und Zuschüssen für laufende Zwecke und allgemeine Umlagen;2009;30.071.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Erträge aus Zuweisungen und Zuschüssen für laufende Zwecke und allgemeine Umlagen;2010;30.321.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Erträge aus Zuweisungen und Zuschüssen für laufende Zwecke und allgemeine Umlagen;2011;30.321.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Erträge aus Zuweisungen und Zuschüssen für laufende Zwecke und allgemeine Umlagen;2012;30.321.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Erträge aus Zuweisungen und Zuschüssen für laufende Zwecke und allgemeine Umlagen;2013;30.321.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Kostenersatzleistungen und -erstattungen;2008;22.058.602,72
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Kostenersatzleistungen und -erstattungen;2009;25.848.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Kostenersatzleistungen und -erstattungen;2010;25.538.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Kostenersatzleistungen und -erstattungen;2011;25.666.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Kostenersatzleistungen und -erstattungen;2012;25.666.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Kostenersatzleistungen und -erstattungen;2013;25.666.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Öffentlich-rechtliche Leistungsentgelte;2008;5.561,08
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Privatrechtliche Leistungsentgelte;2008;600.082,35
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Privatrechtliche Leistungsentgelte;2009;340.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Privatrechtliche Leistungsentgelte;2010;340.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Privatrechtliche Leistungsentgelte;2011;340.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Privatrechtliche Leistungsentgelte;2012;340.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Privatrechtliche Leistungsentgelte;2013;340.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Sonstige ordentliche Erträge;2008;116.630,07
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Sonstige ordentliche Erträge;2009;27.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Sonstige ordentliche Erträge;2010;27.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Sonstige ordentliche Erträge;2011;27.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Sonstige ordentliche Erträge;2012;27.000,00
1.18.01;Leistungen des Jugend- und Sozialamtes;E;Sonstige ordentliche Erträge;2013;27.000,00
1.19.01;Infektiologie;A;Abschreibungen;2008;172.906,32
1.19.01;Infektiologie;A;Abschreibungen;2009;275.000,00
1.19.01;Infektiologie;A;Abschreibungen;2010;141.113,86
1.19.01;Infektiologie;A;Abschreibungen;2011;177.103,00
1.19.01;Infektiologie;A;Abschreibungen;2012;178.000,00
1.19.01;Infektiologie;A;Abschreibungen;2013;170.000,00
1.19.01;Infektiologie;A;Aufwendungen für Sach- und Dienstleistungen;2008;1.244.995,68
1.19.01;Infektiologie;A;Aufwendungen für Sach- und Dienstleistungen;2009;3.950.000,00
1.19.01;Infektiologie;A;Aufwendungen für Sach- und Dienstleistungen;2010;2.776.000,00
1.19.01;Infektiologie;A;Aufwendungen für Sach- und Dienstleistungen;2011;2.805.000,00
1.19.01;Infektiologie;A;Aufwendungen für Sach- und Dienstleistungen;2012;2.805.000,00
1.19.01;Infektiologie;A;Aufwendungen für Sach- und Dienstleistungen;2013;2.805.000,00
1.19.01;Infektiologie;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2008;425.292,09
1.19.01;Infektiologie;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2009;526.000,00
1.19.01;Infektiologie;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2010;449.000,00
1.19.01;Infektiologie;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2011;449.000,00
1.19.01;Infektiologie;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2012;449.000,00
1.19.01;Infektiologie;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2013;449.000,00
1.19.01;Infektiologie;A;Außerordentliche Aufwendungen;2008;709,15
1.19.01;Infektiologie;A;Personalaufwendungen;2008;2.918.119,25
1.19.01;Infektiologie;A;Personalaufwendungen;2009;3.402.000,00
1.19.01;Infektiologie;A;Personalaufwendungen;2010;3.706.000,00
1.19.01;Infektiologie;A;Personalaufwendungen;2011;3.669.000,00
1.19.01;Infektiologie;A;Personalaufwendungen;2012;3.669.000,00
1.19.01;Infektiologie;A;Personalaufwendungen;2013;3.669.000,00
1.19.01;Infektiologie;A;Sonstige ordentliche Aufwendungen;2008;334,00
1.19.01;Infektiologie;A;Sonstige ordentliche Aufwendungen;2009;50.000,00
1.19.01;Infektiologie;A;Sonstige ordentliche Aufwendungen;2010;50.000,00
1.19.01;Infektiologie;A;Sonstige ordentliche Aufwendungen;2011;50.000,00
1.19.01;Infektiologie;A;Sonstige ordentliche Aufwendungen;2012;50.000,00
1.19.01;Infektiologie;A;Sonstige ordentliche Aufwendungen;2013;50.000,00
1.19.01;Infektiologie;A;Versorgungsaufwendungen;2008;1.116.825,34
1.19.01;Infektiologie;A;Versorgungsaufwendungen;2009;1.150.000,00
1.19.01;Infektiologie;A;Versorgungsaufwendungen;2010;1.163.000,00
1.19.01;Infektiologie;A;Versorgungsaufwendungen;2011;1.230.000,00
1.19.01;Infektiologie;A;Versorgungsaufwendungen;2012;1.230.000,00
1.19.01;Infektiologie;A;Versorgungsaufwendungen;2013;1.230.000,00
1.19.01;Infektiologie;E;Außerordentliche Erträge;2008;5.733,00
1.19.01;Infektiologie;E;Erträge aus Zuweisungen und Zuschüssen für laufende Zwecke und allgemeine Umlagen;2008;295.866,81
1.19.01;Infektiologie;E;Erträge aus Zuweisungen und Zuschüssen für laufende Zwecke und allgemeine Umlagen;2009;287.000,00
1.19.01;Infektiologie;E;Erträge aus Zuweisungen und Zuschüssen für laufende Zwecke und allgemeine Umlagen;2010;287.000,00
1.19.01;Infektiologie;E;Erträge aus Zuweisungen und Zuschüssen für laufende Zwecke und allgemeine Umlagen;2011;287.000,00
1.19.01;Infektiologie;E;Erträge aus Zuweisungen und Zuschüssen für laufende Zwecke und allgemeine Umlagen;2012;287.000,00
1.19.01;Infektiologie;E;Erträge aus Zuweisungen und Zuschüssen für laufende Zwecke und allgemeine Umlagen;2013;287.000,00
1.19.01;Infektiologie;E;Öffentlich-rechtliche Leistungsentgelte;2008;257.746,88
1.19.01;Infektiologie;E;Öffentlich-rechtliche Leistungsentgelte;2009;152.000,00
1.19.01;Infektiologie;E;Öffentlich-rechtliche Leistungsentgelte;2010;152.000,00
1.19.01;Infektiologie;E;Öffentlich-rechtliche Leistungsentgelte;2011;152.000,00
1.19.01;Infektiologie;E;Öffentlich-rechtliche Leistungsentgelte;2012;152.000,00
1.19.01;Infektiologie;E;Öffentlich-rechtliche Leistungsentgelte;2013;152.000,00
1.19.01;Infektiologie;E;Privatrechtliche Leistungsentgelte;2008;380.912,20
1.19.01;Infektiologie;E;Privatrechtliche Leistungsentgelte;2009;323.000,00
1.19.01;Infektiologie;E;Privatrechtliche Leistungsentgelte;2010;354.000,00
1.19.01;Infektiologie;E;Privatrechtliche Leistungsentgelte;2011;354.000,00
1.19.01;Infektiologie;E;Privatrechtliche Leistungsentgelte;2012;354.000,00
1.19.01;Infektiologie;E;Privatrechtliche Leistungsentgelte;2013;354.000,00
1.19.01;Infektiologie;E;Sonstige ordentliche Erträge;2008;2.794,38
1.19.01;Infektiologie;E;Sonstige ordentliche Erträge;2009;2.000,00
1.19.01;Infektiologie;E;Sonstige ordentliche Erträge;2010;2.000,00
1.19.01;Infektiologie;E;Sonstige ordentliche Erträge;2011;2.000,00
1.19.01;Infektiologie;E;Sonstige ordentliche Erträge;2012;2.000,00
1.19.01;Infektiologie;E;Sonstige ordentliche Erträge;2013;2.000,00
1.19.02;Medizinische Dienste und Hygiene;A;Abschreibungen;2008;28.173,94
1.19.02;Medizinische Dienste und Hygiene;A;Abschreibungen;2009;39.000,00
1.19.02;Medizinische Dienste und Hygiene;A;Abschreibungen;2010;11.234,00
1.19.02;Medizinische Dienste und Hygiene;A;Abschreibungen;2011;8.031,00
1.19.02;Medizinische Dienste und Hygiene;A;Abschreibungen;2012;6.000,00
1.19.02;Medizinische Dienste und Hygiene;A;Abschreibungen;2013;5.000,00
1.19.02;Medizinische Dienste und Hygiene;A;Aufwendungen für Sach- und Dienstleistungen;2008;439.741,65
1.19.02;Medizinische Dienste und Hygiene;A;Aufwendungen für Sach- und Dienstleistungen;2009;361.000,00
1.19.02;Medizinische Dienste und Hygiene;A;Aufwendungen für Sach- und Dienstleistungen;2010;357.000,00
1.19.02;Medizinische Dienste und Hygiene;A;Aufwendungen für Sach- und Dienstleistungen;2011;357.000,00
1.19.02;Medizinische Dienste und Hygiene;A;Aufwendungen für Sach- und Dienstleistungen;2012;357.000,00
1.19.02;Medizinische Dienste und Hygiene;A;Aufwendungen für Sach- und Dienstleistungen;2013;357.000,00
1.19.02;Medizinische Dienste und Hygiene;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2008;423.668,00
1.19.02;Medizinische Dienste und Hygiene;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2009;187.000,00
1.19.02;Medizinische Dienste und Hygiene;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2010;192.000,00
1.19.02;Medizinische Dienste und Hygiene;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2011;192.000,00
1.19.02;Medizinische Dienste und Hygiene;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2012;192.000,00
1.19.02;Medizinische Dienste und Hygiene;A;Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben;2013;192.000,00
1.19.02;Medizinische Dienste und Hygiene;A;Personalaufwendungen;2008;1.626.902,10
1.19.02;Medizinische Dienste und Hygiene;A;Personalaufwendungen;2009;1.591.000,00
1.19.02;Medizinische Dienste und Hygiene;A;Personalaufwendungen;2010;1.760.000,00
1.19.02;Medizinische Dienste und Hygiene;A;Personalaufwendungen;2011;1.760.000,00
1.19.02;Medizinische Dienste und Hygiene;A;Personalaufwendungen;2012;1.760.000,00
1.19.02;Medizinische Dienste und Hygiene;A;Personalaufwendungen;2013;1.760.000,00
1.19.02;Medizinische Dienste und Hygiene;A;Sonstige ordentliche Aufwendungen;2008;409,00
1.19.02;Medizinische Dienste und Hygiene;A;Sonstige ordentliche Aufwendungen;2009;1.000,00
